8:52:27 PM,4,0,0.585809,2.359554,1
8:56:22 PM,0,0,5.147427,5.964915,5
8:56:23 PM,1,0,1.384814,8.3894,3
8:56:24 PM,2,0,1.03204,8.784451,5
8:56:28 PM,3,5,4.250617,3.042617,5
8:56:30 PM,4,5,1.933603,0.6798939,5
8:56:32 PM,5,5,1.415003,4.670648,5
8:56:33 PM,6,5,1.684134,6.826724,5
8:56:35 PM,7,5,1.966963,13.2061,5
8:56:37 PM,8,5,1.735374,4.030908,5
8:56:39 PM,9,5,1.714529,6.691773,5
8:56:40 PM,10,5,1.784367,6.783958,3
8:56:42 PM,11,5,1.947742,8.682044,3
8:56:43 PM,12,5,1.084217,7.428804,3
8:56:47 PM,13,5,3.148989,4.011519,1
8:56:49 PM,14,5,2.750332,5.731769,3
8:58:49 PM,0,0,2.967587,5.206764,1
8:58:51 PM,1,0,2.065876,3.648723,1
8:58:53 PM,2,0,1.282326,3.543736,1
8:58:54 PM,3,0,1.765611,9.76549,3
8:58:58 PM,4,0,3.882653,10.06064,5
8:59:04 PM,5,0,6.202533,4.322209,1
8:59:07 PM,6,0,2.899448,6.200508,2
9:01:06 PM,0,0,3.822275,4.619659,3
9:01:11 PM,1,0,4.451236,4.543129,5
9:01:44 PM,0,0,5.42522,2.838188,3
9:01:46 PM,1,0,1.966514,8.075937,3
9:01:48 PM,2,3,2.480254,12.62763,3
9:01:50 PM,3,4,2.031771,1.246613,3
9:01:51 PM,4,4,1.221322,4.650509,3
9:01:53 PM,5,4,1.930977,6.830224,3
9:01:54 PM,6,4,1.114118,5.427323,3
9:01:55 PM,7,4,0.6862793,5.909806,3
9:01:56 PM,8,4,0.970871,9.266187,3
9:02:41 PM,0,0,4.110689,3.261417,1
9:02:42 PM,1,0,1.301001,4.291419,1
9:02:44 PM,2,0,1.332609,5.083748,3
9:02:45 PM,3,0,1.586889,4.556119,3
9:02:47 PM,4,0,1.430365,5.662833,3
9:02:49 PM,5,0,2.483971,7.244556,3
9:02:50 PM,6,0,1.215189,7.525294,1
9:02:52 PM,7,0,1.30015,3.005187,3
9:02:53 PM,8,0,1.200958,4.324869,1
9:02:54 PM,9,0,1.062637,1.495152,1
9:02:56 PM,10,0,1.837009,6.269131,1
9:02:57 PM,11,0,1.568111,9.395871,3
9:03:00 PM,12,0,3.23193,1.76992,3
9:03:07 PM,13,0,5.386374,8.639993,1
9:03:09 PM,14,0,1.525135,2.864054,3
9:03:16 PM,15,8,7.414698,4.591299,3
9:03:17 PM,16,8,1.435925,8.919561,1
9:03:18 PM,17,8,0.9797859,10.25417,1
9:03:19 PM,18,8,1.000652,3.178922,1
